Date	Q1 Answer	Q2 Answer	Q3 Answer	Q4 Answer	Q5 Answer	Q6 Answer	Q7 Answer	Q8 Answer	
2020-04-16 02:34:12 Etc/GMT	Vijender Bakhshi	Paymon Jalali	Manav Sharma	Truman Bui	Liam Wilson	Argus Li	Dusan Kovacevic	Shiva Sanei	
2020-04-16 02:37:00 Etc/GMT	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	Dusan Kovacevic	Vote of No Confidence	
2020-04-16 02:38:43 Etc/GMT	Arya Tavakoli	Sarbjot Mann	Mitch Gale	Truman Bui	Akash Bhatthal	Argus Li	Dusan Kovacevic	Akash Bhatthal	
2020-04-16 02:40:34 Etc/GMT	Arya Tavakoli	Sarbjot Mann	Mitch Gale	Truman Bui	John Wu	Argus Li	Liam Wilson	Shiva Sanei	
2020-04-16 02:41:09 Etc/GMT	Hun Seol	Sarbjot Mann	Mitch Gale	Liam Wilson	Akash Bhatthal	Argus Li	John Wu	Akash Bhatthal	
2020-04-16 02:42:12 Etc/GMT	Vijender "VJ" Bakhshi	Paymon Jalali	Mitch Gale	Truman Bui	John Wu	Argus Li	Liam Wilson	Shiva Sanei	
2020-04-16 02:43:56 Etc/GMT	Liam Wilson	Paymon Jalali	Mitch Gale	Liam Wilson	Liam Wilson	Liam Wilson	Liam Wilson	Liam Wilson	
2020-04-16 02:45:23 Etc/GMT	Vijender "VJ" Bakhshi	Liam Wilson	Manav Sharma	Truman Bui	Akash Bhatthal	Argus Li	Dusan Kovacevic	Shiva Sanei	
2020-04-16 02:46:01 Etc/GMT	Vijender "VJ" Bakhshi	Paymon Jalali	Mitch Gale	Truman Bui	Liam Wilson	Liam Wilson	Liam Wilson	Liam Wilson	
2020-04-16 02:46:04 Etc/GMT	Liam Wilson	Liam Wilson	Mitch Gale	Liam Wilson	Liam Wilson	Liam Wilson	Dusan Kovacevic	Liam Wilson	
2020-04-16 02:46:36 Etc/GMT	Arya Tavakoli	Sarbjot Mann	Mitch Gale	Truman Bui	John Wu	Argus Li	John Wu	Shiva Sanei	
2020-04-16 02:51:03 Etc/GMT	Vijender "VJ" Bakhshi	Sarbjot Mann	Mitch Gale	Truman Bui	John Wu	Argus Li	Akash Bhatthal	Shiva Sanei	
2020-04-16 02:51:41 Etc/GMT	Hun Seol	Paymon Jalali	Mitch Gale	Truman Bui	John Wu	Argus Li	Liam Wilson	Akash Bhatthal	
2020-04-16 02:53:07 Etc/GMT	Hun Seol	Sarbjot Mann	Mitch Gale	Truman Bui	Akash Bhatthal	Argus Li	Akash Bhatthal	Akash Bhatthal	
2020-04-16 02:56:05 Etc/GMT	Vijender "VJ" Bakhshi	Sarbjot Mann	Mitch Gale	Truman Bui	Akash Bhatthal	Argus Li	Dusan Kovacevic	Akash Bhatthal	
2020-04-16 02:59:52 Etc/GMT							Dusan Kovacevic		
2020-04-16 03:05:16 Etc/GMT	Vijender "VJ" Bakhshi	Sarbjot Mann	Mitch Gale	Truman Bui	Liam Wilson	Argus Li	Liam Wilson	Shiva Sanei	
2020-04-16 03:06:56 Etc/GMT	Arya Tavakoli	Sarbjot Mann	Mitch Gale	Liam Wilson	John Wu	Argus Li	Dusan Kovacevic	Liam Wilson	
2020-04-16 03:09:22 Etc/GMT	Hun Seol	Sarbjot Mann	Mitch Gale	Liam Wilson	Akash Bhatthal	Argus Li	Akash Bhatthal	Shiva Sanei	
2020-04-16 03:09:30 Etc/GMT	Vijender "VJ" Bakhshi	Sarbjot Mann	Mitch Gale	Truman Bui	John Wu	Liam Wilson	John Wu	John Wu	
2020-04-16 03:13:35 Etc/GMT			Manav Sharma						
2020-04-16 03:13:46 Etc/GMT	Hun Seol	Sarbjot Mann	Mitch Gale	Truman Bui	Akash Bhatthal	Liam Wilson	Akash Bhatthal	Akash Bhatthal	
2020-04-16 03:15:54 Etc/GMT	Vijender "VJ" Bakhshi	Paymon Jalali	Mitch Gale	Truman Bui	Liam Wilson	Liam Wilson	John Wu	Shiva Sanei	
2020-04-16 03:20:19 Etc/GMT	Hun Seol	Sarbjot Mann	Mitch Gale	Truman Bui	John Wu	Argus Li	Vote of No Confidence	Shiva Sanei	
2020-04-16 03:24:16 Etc/GMT	Liam Wilson	Paymon Jalali	Liam Wilson	Truman Bui	Liam Wilson	Argus Li	John Wu	John Wu	
2020-04-16 03:26:39 Etc/GMT	Vijender "VJ" Bakhshi	Paymon Jalali	Mitch Gale	Truman Bui	Liam Wilson	Liam Wilson	Liam Wilson	Liam Wilson	
2020-04-16 03:27:42 Etc/GMT	Vijender "VJ" Bakhshi	Paymon Jalali	Mitch Gale	Liam Wilson	Liam Wilson	Liam Wilson	Dusan Kovacevic	Liam Wilson	
2020-04-16 03:29:37 Etc/GMT	Hun Seol	Sarbjot Mann	Mitch Gale	Truman Bui	Akash Bhatthal	Argus Li	John Wu	Shiva Sanei	
2020-04-16 03:34:17 Etc/GMT	Vijender "VJ" Bakhshi	Paymon Jalali	Mitch Gale	Truman Bui	Liam Wilson	Argus Li	John Wu	Shiva Sanei	
2020-04-16 03:35:03 Etc/GMT	Hun Seol	Sarbjot Mann	Manav Sharma	Vote of No Confidence	Akash Bhatthal	Argus Li	Dusan Kovacevic	Akash Bhatthal	
2020-04-16 03:35:19 Etc/GMT	Hun Seol	Sarbjot Mann	Mitch Gale	Truman Bui	Akash Bhatthal	Argus Li	Akash Bhatthal	Shiva Sanei	
2020-04-16 03:46:22 Etc/GMT	Vijender "VJ" Bakhshi	Liam Wilson	Mitch Gale	Truman Bui	Vote of No Confidence	Vote of No Confidence	Dusan Kovacevic	Shiva Sanei	
2020-04-16 03:48:24 Etc/GMT	Hun Seol	Sarbjot Mann	Mitch Gale	Truman Bui	Akash Bhatthal	Argus Li	Liam Wilson	Akash Bhatthal	
2020-04-16 03:49:24 Etc/GMT	Hun Seol	Sarbjot Mann	Mitch Gale	Truman Bui	Akash Bhatthal	Argus Li	Akash Bhatthal	Akash Bhatthal	
2020-04-16 04:28:26 Etc/GMT	Hun Seol	Sarbjot Mann	Mitch Gale	Truman Bui	Akash Bhatthal	Liam Wilson	Akash Bhatthal	Akash Bhatthal	
2020-04-16 04:38:09 Etc/GMT	Vijender "VJ" Bakhshi	Sarbjot Mann	Mitch Gale	Truman Bui	Liam Wilson	Argus Li	Dusan Kovacevic	Liam Wilson	
2020-04-16 04:46:25 Etc/GMT	Hun Seol	Sarbjot Mann	Mitch Gale	Liam Wilson	John Wu	Argus Li	Dusan Kovacevic	Shiva Sanei	
2020-04-16 04:46:55 Etc/GMT	Hun Seol	Sarbjot Mann	Vote of No Confidence	Liam Wilson	John Wu	Argus Li	Vote of No Confidence	Shiva Sanei	
2020-04-16 05:23:24 Etc/GMT	Hun Seol	Liam Wilson	Mitch Gale	Liam Wilson	Akash Bhatthal	Argus Li	Dusan Kovacevic	John Wu	
2020-04-16 05:24:56 Etc/GMT	Arya Tavakoli								
2020-04-16 05:29:26 Etc/GMT	Hun Seol	Sarbjot Mann	Mitch Gale	Vote of No Confidence	John Wu	Vote of No Confidence	Dusan Kovacevic	Shiva Sanei	
2020-04-16 05:31:40 Etc/GMT	Hun Seol	Sarbjot Mann	Vote of No Confidence	Vote of No Confidence	Akash Bhatthal	Vote of No Confidence	Akash Bhatthal	Akash Bhatthal	
2020-04-16 05:35:38 Etc/GMT	Vijender "VJ" Bakhshi	Paymon Jalali	Mitch Gale	Truman Bui	Liam Wilson	Liam Wilson	Dusan Kovacevic	Liam Wilson	
2020-04-16 06:02:21 Etc/GMT	Vijender "VJ" Bakhshi	Sarbjot Mann	Mitch Gale	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	Liam Wilson	Shiva Sanei	
2020-04-16 06:10:33 Etc/GMT	Arya Tavakoli	Paymon Jalali	Mitch Gale	Truman Bui	John Wu	Liam Wilson	John Wu	John Wu	
2020-04-16 06:18:36 Etc/GMT	Arya Tavakoli	Sarbjot Mann	Mitch Gale	Truman Bui	Liam Wilson	Liam Wilson	Dusan Kovacevic	Liam Wilson	
2020-04-16 06:21:46 Etc/GMT	Arya Tavakoli	Sarbjot Mann	Mitch Gale	Truman Bui	Liam Wilson	Liam Wilson	Dusan Kovacevic	John Wu	
2020-04-16 06:36:04 Etc/GMT	Vijender "VJ" Bakhshi	Paymon Jalali	Mitch Gale	Truman Bui	Akash Bhatthal	Argus Li	Liam Wilson	Shiva Sanei	
2020-04-16 06:40:49 Etc/GMT	Arya Tavakoli	Paymon Jalali	Mitch Gale	Truman Bui	Akash Bhatthal	Argus Li	Akash Bhatthal	Shiva Sanei	
2020-04-16 07:25:40 Etc/GMT	Vijender "VJ" Bakhshi	Paymon Jalali	Manav Sharma	Truman Bui	Akash Bhatthal	Argus Li	Akash Bhatthal	Shiva Sanei	
2020-04-16 07:31:49 Etc/GMT	Vijender "VJ" Bakhshi	Sarbjot Mann	Mitch Gale	Truman Bui	John Wu	Argus Li	Liam Wilson	Shiva Sanei	
2020-04-16 09:57:33 Etc/GMT	Hun Seol								
2020-04-16 16:57:38 Etc/GMT	Vijender "VJ" Bakhshi	Paymon Jalali	Mitch Gale	Truman Bui	Akash Bhatthal	Argus Li	Dusan Kovacevic	Shiva Sanei	
2020-04-16 18:44:57 Etc/GMT	Arya Tavakoli	Sarbjot Mann	Mitch Gale	Truman Bui	John Wu	Argus Li	Dusan Kovacevic	Shiva Sanei	
2020-04-16 18:47:28 Etc/GMT	Vijender "VJ" Bakhshi	Sarbjot Mann	Mitch Gale	Truman Bui	John Wu	Liam Wilson	Dusan Kovacevic	Akash Bhatthal	
2020-04-16 18:58:40 Etc/GMT	Arya Tavakoli	Sarbjot Mann	Mitch Gale	Truman Bui	Liam Wilson	Argus Li	Dusan Kovacevic	Liam Wilson	
2020-04-16 19:05:08 Etc/GMT	Hun Seol	Sarbjot Mann	Vote of No Confidence	Vote of No Confidence	Akash Bhatthal		Akash Bhatthal	Akash Bhatthal	
2020-04-16 23:17:45 Etc/GMT	Hun Seol	Sarbjot Mann	Mitch Gale	Truman Bui	John Wu	Liam Wilson	Dusan Kovacevic	Akash Bhatthal	
2020-04-16 23:56:37 Etc/GMT	Hun Seol	Sarbjot Mann	Liam Wilson	Truman Bui	Akash Bhatthal	Argus Li	Dusan Kovacevic	Akash Bhatthal	
2020-04-17 01:15:24 Etc/GMT	Hun Seol	Sarbjot Mann	Liam Wilson	Truman Bui	Akash Bhatthal	Argus Li	John Wu	Shiva Sanei	
2020-04-17 01:15:30 Etc/GMT	Vijender "VJ" Bakhshi	Paymon Jalali	Vote of No Confidence	Truman Bui	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	
2020-04-17 02:34:58 Etc/GMT	Vijender "VJ" Bakhshi	Sarbjot Mann	Mitch Gale	Truman Bui	Vote of No Confidence	Liam Wilson	Dusan Kovacevic	Shiva Sanei	
2020-04-17 02:46:09 Etc/GMT	Vijender "VJ" Bakhshi	Sarbjot Mann	Mitch Gale	Truman Bui	Akash Bhatthal	Liam Wilson	Dusan Kovacevic	Shiva Sanei	
2020-04-17 03:14:46 Etc/GMT	Vijender "VJ" Bakhshi	Sarbjot Mann	Manav Sharma	Vote of No Confidence	Akash Bhatthal	Liam Wilson	Akash Bhatthal	Shiva Sanei	
2020-04-17 04:31:37 Etc/GMT	Vijender "VJ" Bakhshi	Sarbjot Mann	Mitch Gale				Akash Bhatthal		
2020-04-17 18:53:38 Etc/GMT	Hun Seol	Sarbjot Mann	Mitch Gale	Truman Bui	John Wu	Argus Li	Liam Wilson	Akash Bhatthal	
2020-04-17 21:27:22 Etc/GMT	Vijender "VJ" Bakhshi	Sarbjot Mann	Mitch Gale	Truman Bui	Akash Bhatthal	Argus Li	Dusan Kovacevic	John Wu	
2020-04-18 09:42:22 Etc/GMT	Arya Tavakoli	Paymon Jalali	Mitch Gale	Truman Bui	John Wu	Argus Li	Liam Wilson	John Wu	
2020-04-18 17:20:43 Etc/GMT	Vijender "VJ" Bakhshi	Paymon Jalali	Mitch Gale	Truman Bui	Liam Wilson	Liam Wilson	Dusan Kovacevic	Shiva Sanei	
2020-04-19 07:56:50 Etc/GMT	Vijender "VJ" Bakhshi	Vote of No Confidence	Mitch Gale	Truman Bui	John Wu	Argus Li	Liam Wilson	Vote of No Confidence	
2020-04-19 23:39:37 Etc/GMT	Hun Seol	Sarbjot Mann	Mitch Gale	Truman Bui	Vote of No Confidence	Argus Li	Dusan Kovacevic	Akash Bhatthal	
2020-04-20 00:27:06 Etc/GMT	Arya Tavakoli	Sarbjot Mann	Vote of No Confidence	Truman Bui	Vote of No Confidence	Vote of No Confidence	Dusan Kovacevic	Vote of No Confidence	
2020-04-20 00:31:10 Etc/GMT	Vijender "VJ" Bakhshi	Sarbjot Mann	Mitch Gale	Truman Bui	Vote of No Confidence	Vote of No Confidence	Dusan Kovacevic	Vote of No Confidence	
2020-04-20 02:00:16 Etc/GMT	Vijender "VJ" Bakhshi	Sarbjot Mann	Mitch Gale	Truman Bui	Liam Wilson	Argus Li	Dusan Kovacevic	Liam Wilson	
2020-04-20 03:12:57 Etc/GMT	Vijender "VJ" Bakhshi	Sarbjot Mann	Mitch Gale	Truman Bui	Liam Wilson	Argus Li		Shiva Sanei	
2020-04-20 04:14:09 Etc/GMT	Hun Seol	Sarbjot Mann	Mitch Gale	Truman Bui	John Wu	Argus Li	Liam Wilson	Shiva Sanei	
2020-04-20 05:18:07 Etc/GMT	Vijender "VJ" Bakhshi	Paymon Jalali	Mitch Gale	Truman Bui	Akash Bhatthal	Argus Li	Dusan Kovacevic	Shiva Sanei	
2020-04-20 07:03:18 Etc/GMT	Vijender "VJ" Bakhshi	Vote of No Confidence		Truman Bui	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence		
2020-04-20 15:21:59 Etc/GMT	Vijender "VJ" Bakhshi	Sarbjot Mann	Mitch Gale	Truman Bui	Liam Wilson	Liam Wilson	Vote of No Confidence	Akash Bhatthal	
2020-04-21 02:01:39 Etc/GMT	Vijender "VJ" Bakhshi	Sarbjot Mann	Mitch Gale	Truman Bui	John Wu	Liam Wilson	Vote of No Confidence	Vote of No Confidence	
2020-04-21 02:11:03 Etc/GMT	Hun Seol	Sarbjot Mann	Manav Sharma	Truman Bui	Akash Bhatthal	Argus Li	John Wu	Akash Bhatthal	
2020-04-21 03:50:46 Etc/GMT	Vijender "VJ" Bakhshi	Sarbjot Mann	Mitch Gale	Truman Bui	John Wu	Argus Li	Dusan Kovacevic	John Wu	
2020-04-21 06:04:57 Etc/GMT	Vijender "VJ" Bakhshi	Paymon Jalali	Mitch Gale	Truman Bui	Akash Bhatthal	Argus Li	Dusan Kovacevic	Shiva Sanei	
2020-04-21 17:37:41 Etc/GMT	Hun Seol	Sarbjot Mann	Mitch Gale	Truman Bui	John Wu	Argus Li	John Wu	Akash Bhatthal	
2020-04-21 20:36:31 Etc/GMT	Liam Wilson	Vote of No Confidence	Mitch Gale	Liam Wilson	John Wu	Argus Li	Dusan Kovacevic	Vote of No Confidence	
2020-04-21 20:48:02 Etc/GMT	Hun Seol	Sarbjot Mann	Mitch Gale	Truman Bui	Liam Wilson	Liam Wilson	Dusan Kovacevic	Liam Wilson	
2020-04-21 20:56:31 Etc/GMT	Hun Seol	Paymon Jalali	Manav Sharma	Truman Bui	Akash Bhatthal	Argus Li	Dusan Kovacevic	Shiva Sanei	
2020-04-21 20:59:56 Etc/GMT	Hun Seol	Sarbjot Mann	Mitch Gale	Truman Bui	John Wu	Argus Li	Dusan Kovacevic	John Wu	
2020-04-21 21:12:09 Etc/GMT	Liam Wilson	Liam Wilson	Liam Wilson	Liam Wilson	Liam Wilson	Liam Wilson	Liam Wilson	Liam Wilson	
2020-04-21 21:17:25 Etc/GMT	Vijender "VJ" Bakhshi	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	
2020-04-21 21:19:14 Etc/GMT	Hun Seol	Sarbjot Mann	Manav Sharma	Truman Bui	Vote of No Confidence	Argus Li	Dusan Kovacevic	Shiva Sanei	
2020-04-21 21:29:56 Etc/GMT	Hun Seol	Sarbjot Mann	Mitch Gale	Liam Wilson	John Wu	Argus Li	Akash Bhatthal	Shiva Sanei	
2020-04-21 21:51:42 Etc/GMT	Liam Wilson	Liam Wilson	Liam Wilson	Liam Wilson	Liam Wilson	Liam Wilson	Liam Wilson	Liam Wilson	
2020-04-21 21:58:21 Etc/GMT	Vijender "VJ" Bakhshi	Paymon Jalali	Mitch Gale	Truman Bui	John Wu	Argus Li	Dusan Kovacevic	Shiva Sanei	
2020-04-21 22:05:53 Etc/GMT	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	
2020-04-21 22:21:27 Etc/GMT	Arya Tavakoli	Sarbjot Mann	Mitch Gale	Truman Bui	John Wu	Liam Wilson	Dusan Kovacevic	Akash Bhatthal	
2020-04-21 22:44:19 Etc/GMT	Bryan Daniel	Sarbjot Mann	Mitch Gale	Truman Bui	John Wu	Argus Li	Dusan Kovacevic	Akash Bhatthal	
2020-04-21 23:01:44 Etc/GMT	Hun Seol	Sarbjot Mann	Vote of No Confidence	Truman Bui	Akash Bhatthal	Argus Li	Dusan Kovacevic	Liam Wilson	
2020-04-22 00:04:59 Etc/GMT			Manav Sharma						
2020-04-22 00:07:51 Etc/GMT			Manav Sharma						
2020-04-22 00:16:44 Etc/GMT	Hun Seol	Sarbjot Mann	Manav Sharma	Liam Wilson	Akash Bhatthal	Argus Li	John Wu	Shiva Sanei	
2020-04-22 00:18:01 Etc/GMT			Manav Sharma						
2020-04-22 00:19:20 Etc/GMT	Vijender "VJ" Bakhshi	Sarbjot Mann	Mitch Gale	Truman Bui	Liam Wilson	Argus Li	Dusan Kovacevic	Shiva Sanei	
2020-04-22 00:40:44 Etc/GMT	Hun Seol	Sarbjot Mann	Mitch Gale	Liam Wilson	Akash Bhatthal	Argus Li	Dusan Kovacevic	John Wu	
2020-04-22 01:01:48 Etc/GMT	Vijender "VJ" Bakhshi	Sarbjot Mann	Mitch Gale	Vote of No Confidence	Vote of No Confidence	Argus Li	John Wu	Shiva Sanei	
2020-04-22 01:06:07 Etc/GMT	Vijender "VJ" Bakhshi	Sarbjot Mann	Manav Sharma	Liam Wilson	Akash Bhatthal	Liam Wilson	Akash Bhatthal	Shiva Sanei	
2020-04-22 02:02:28 Etc/GMT	Bryan Daniel	Sarbjot Mann	Manav Sharma	Vote of No Confidence	Akash Bhatthal	Argus Li	Dusan Kovacevic	Shiva Sanei	
2020-04-22 03:37:46 Etc/GMT			Manav Sharma						
2020-04-22 04:47:35 Etc/GMT	Liam Wilson	Sarbjot Mann	Manav Sharma	Liam Wilson	Vote of No Confidence	Argus Li	Dusan Kovacevic		
2020-04-22 04:49:39 Etc/GMT	Bryan Daniel	Sarbjot Mann	Manav Sharma	Liam Wilson	Liam Wilson	Liam Wilson	Akash Bhatthal	Liam Wilson	
2020-04-22 05:01:23 Etc/GMT	Vote of No Confidence	Sarbjot Mann	Manav Sharma	Liam Wilson	Liam Wilson	Argus Li	Dusan Kovacevic	John Wu	
2020-04-22 05:12:42 Etc/GMT	Vijender "VJ" Bakhshi	Sarbjot Mann	Mitch Gale	Liam Wilson	John Wu	Liam Wilson	Akash Bhatthal	Akash Bhatthal	
2020-04-22 11:18:18 Etc/GMT	Vijender "VJ" Bakhshi	Paymon Jalali	Mitch Gale	Truman Bui	Akash Bhatthal	Liam Wilson	John Wu	John Wu	
2020-04-22 12:14:27 Etc/GMT	Hun Seol		Liam Wilson						
2020-04-22 15:59:50 Etc/GMT	Hun Seol	Sarbjot Mann	Liam Wilson	Liam Wilson	Liam Wilson	Liam Wilson	Liam Wilson	Liam Wilson	
2020-04-22 20:00:45 Etc/GMT	Vote of No Confidence	Sarbjot Mann	Mitch Gale	Truman Bui	Akash Bhatthal	Liam Wilson	Dusan Kovacevic	Shiva Sanei	
2020-04-22 21:05:13 Etc/GMT	Vijender "VJ" Bakhshi	Sarbjot Mann	Mitch Gale	Truman Bui	Liam Wilson	Argus Li	Dusan Kovacevic	Akash Bhatthal	
2020-04-22 23:09:19 Etc/GMT	Arya Tavakoli	Sarbjot Mann	Manav Sharma	Truman Bui	Akash Bhatthal	Vote of No Confidence	Akash Bhatthal	Akash Bhatthal	
2020-04-23 00:34:58 Etc/GMT	Vijender "VJ" Bakhshi	Paymon Jalali	Mitch Gale	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	
2020-04-23 00:47:33 Etc/GMT	Hun Seol	Sarbjot Mann	Mitch Gale	Vote of No Confidence	Vote of No Confidence	Vote of No Confidence	John Wu	Shiva Sanei	
2020-04-23 04:49:36 Etc/GMT	Bryan Daniel	Sarbjot Mann	Mitch Gale	Truman Bui	John Wu	Liam Wilson	Liam Wilson	Shiva Sanei	
