Date,	Q1 Answer,	Q2 Answer,	Q3 Answer,	Q4 Answer,	Q5 Answer,	Q6 Answer,	Q7 Answer,	
2015-03-29 07:15:19 Etc/GMT,	No Vote,	No Vote,	No Vote,	No Vote,	No Vote,	Kenneth Kwok,	No Vote,	
2015-03-29 07:34:26 Etc/GMT,	Colin Woodbury,	No Vote,	No Vote,	No Vote,	Jason Wang,	Kenneth Kwok,	No Vote,	
2015-03-29 08:05:24 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 08:26:24 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 08:51:42 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Farzin Ahmed,	David Miiller,	
2015-03-29 08:54:14 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Farzin Ahmed,	David Miiller,	
2015-03-29 15:44:43 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 16:28:47 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 18:00:38 Etc/GMT,	Colin Woodbury,	No Vote,	Jordan Toering,	No Vote,	No Vote,	Kenneth Kwok,	No Vote,	
2015-03-29 19:00:03 Etc/GMT,	No Vote,	No Vote,	No Vote,	No Vote,	No Vote,	Kenneth Kwok,	No Vote,	
2015-03-29 19:25:04 Etc/GMT,	Colin Woodbury,	No Vote,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 19:38:29 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	No Vote,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-29 21:07:14 Etc/GMT,	No Vote,	No Vote,	No Vote,	No Vote,	No Vote,	Farzin Ahmed,	No Vote,	
2015-03-29 22:21:14 Etc/GMT,	Colin Woodbury,	No Vote,	Jordan Toering,	No Vote,	Jason Wang,	Farzin Ahmed,	No Vote,	
2015-03-29 22:50:41 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Farzin Ahmed,	David Miiller,	
2015-03-29 23:46:50 Etc/GMT,	No Vote,	No Vote,	No Vote,	No Vote,	No Vote,	Kenneth Kwok,	No Vote,	
2015-03-30 00:29:33 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-30 00:57:01 Etc/GMT,	No Vote,	No Vote,	No Vote,	No Vote,	Jason Wang,	Kenneth Kwok,	No Vote,	
2015-03-30 01:06:20 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Farzin Ahmed,	David Miiller,	
2015-03-30 02:18:02 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-30 04:13:33 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Farzin Ahmed,	David Miiller,	
2015-03-30 06:11:48 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-30 08:09:32 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-30 20:44:16 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-30 21:15:12 Etc/GMT,	No Vote,	No Vote,	Jordan Toering,	No Vote,	Jason Wang,	Kenneth Kwok,	No Vote,	
2015-03-30 21:32:17 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-31 05:10:31 Etc/GMT,	Colin Woodbury,	No Vote,	No Vote,	No Vote,	No Vote,	Farzin Ahmed,	David Miiller,	
2015-03-31 06:35:20 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-31 16:15:31 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-31 16:52:21 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-03-31 20:40:37 Etc/GMT,	No Vote,	No Vote,	No Vote,	No Vote,	No Vote,	Kenneth Kwok,	No Vote,	
2015-03-31 23:29:22 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Farzin Ahmed,	No Vote,	
2015-04-01 07:22:08 Etc/GMT,	No Vote,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-04-01 17:19:27 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	No Vote,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-04-02 19:14:31 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	No Vote,	Gareth Moon,	Jason Wang,	Farzin Ahmed,	No Vote,	
2015-04-02 23:34:02 Etc/GMT,	No Vote,	No Vote,	No Vote,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-04-02 23:41:49 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	No Vote,	Gareth Moon,	Jason Wang,	Farzin Ahmed,	David Miiller,	
2015-04-04 05:53:43 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Farzin Ahmed,	David Miiller,	
2015-04-04 05:56:26 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	No Vote,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	No Vote,	
2015-04-04 05:56:54 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-04-04 05:58:02 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Farzin Ahmed,	David Miiller,	
2015-04-04 05:59:10 Etc/GMT,	No Vote,	No Vote,	No Vote,	No Vote,	No Vote,	Kenneth Kwok,	No Vote,	
2015-04-04 06:09:37 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-04-04 06:09:38 Etc/GMT,	No Vote,	No Vote,	No Vote,	No Vote,	No Vote,	Kenneth Kwok,	No Vote,	
2015-04-04 06:11:24 Etc/GMT,	No Vote,	No Vote,	No Vote,	No Vote,	No Vote,	Kenneth Kwok,	No Vote,	
2015-04-04 06:12:57 Etc/GMT,	Colin Woodbury,	No Vote,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	No Vote,	
2015-04-04 06:27:26 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-04-04 06:38:19 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Farzin Ahmed,	David Miiller,	
2015-04-04 06:51:48 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	No Vote,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	No Vote,	
2015-04-04 06:51:58 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	No Vote,	Jason Wang,	Farzin Ahmed,	David Miiller,	
2015-04-04 07:07:12 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-04-04 08:01:35 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	No Vote,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-04-04 08:05:36 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-04-04 08:45:05 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Farzin Ahmed,	David Miiller,	
2015-04-04 09:52:53 Etc/GMT,	No Vote,	No Vote,	No Vote,	No Vote,	No Vote,	Kenneth Kwok,	No Vote,	
2015-04-04 20:00:35 Etc/GMT,	Colin Woodbury,	Siddhant Agrawal,	Jordan Toering,	Gareth Moon,	Jason Wang,	Kenneth Kwok,	David Miiller,	
2015-04-04 20:13:07 Etc/GMT,	No Vote,	No Vote,	No Vote,	No Vote,	No Vote,	Kenneth Kwok,	No Vote,	
