Date	Q1 Answer	Q2 Answer	Q3 Answer	Q4 Answer	Q5 Answer	Q6 Answer	Q7 Answer	Q8 Answer	
2021-04-07 15:35:04 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Jared Murphy	Justin Yan	Truman Bui	
2021-04-07 15:37:38 Etc/GMT	John Wu	No Confidence	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-07 15:54:00 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Justin Yan	Jared Murphy	Jared Murphy	Jared Murphy	Dusan Kovacevic	
2021-04-07 16:16:02 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Jared Murphy	Johnson Luong	Truman Bui	
2021-04-07 16:31:51 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	No Confidence	Justin Yan	Dusan Kovacevic	
2021-04-07 16:37:19 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Justin Yan	Justin Yan	Dina Hui Zeng	Justin Yan	Justin Yan	
2021-04-07 16:39:44 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	No Confidence	No Confidence	No Confidence	No Confidence	Dusan Kovacevic	
2021-04-07 17:00:46 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Jared Murphy	Johnson Luong	Truman Bui	
2021-04-07 17:02:10 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Jared Murphy	Dusan Kovacevic	
2021-04-07 17:04:58 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Jared Murphy	Johnson Luong	Truman Bui	
2021-04-07 17:19:39 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-07 17:22:45 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Jared Murphy	Dina Hui Zeng	Justin Yan	Truman Bui	
2021-04-07 17:25:40 Etc/GMT	Mitchell Gale	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	Dusan Kovacevic	
2021-04-07 17:26:11 Etc/GMT	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	
2021-04-07 17:33:11 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Justin Yan	Justin Yan	Dina Hui Zeng	Justin Yan	Truman Bui	
2021-04-07 17:37:41 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Jared Murphy	Justin Yan	Truman Bui	
2021-04-07 17:38:37 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Justin Yan	Jared Murphy	Jared Murphy	Justin Yan	Justin Yan	
2021-04-07 17:43:31 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Justin Yan	Justin Yan	Dina Hui Zeng	Justin Yan	Justin Yan	
2021-04-07 17:50:44 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	No Confidence	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-07 17:51:06 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Justin Yan	Justin Yan	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-07 18:37:01 Etc/GMT	No Confidence	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	No Confidence	Dina Hui Zeng	No Confidence	Truman Bui	
2021-04-07 18:40:03 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-07 18:43:50 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Justin Yan	Truman Bui	
2021-04-07 18:44:57 Etc/GMT	Mitchell Gale	Shiva Sanei	No Confidence	Justin Yan	Justin Yan	Dina Hui Zeng	Justin Yan	Dusan Kovacevic	
2021-04-07 18:46:26 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Justin Yan	Jared Murphy	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-07 18:48:39 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Justin Yan	Jared Murphy	Dina Hui Zeng	Johnson Luong	Dusan Kovacevic	
2021-04-07 18:53:09 Etc/GMT	Mitchell Gale	No Confidence	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Jared Murphy	Justin Yan	Truman Bui	
2021-04-07 19:13:02 Etc/GMT	John Wu	No Confidence	Ari Blondal	No Confidence	No Confidence	No Confidence	Johnson Luong	No Confidence	
2021-04-07 19:31:44 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Jared Murphy	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-07 19:39:15 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	
2021-04-07 19:42:23 Etc/GMT	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	
2021-04-07 19:51:42 Etc/GMT	Mitchell Gale	Shiva Sanei	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	Truman Bui	
2021-04-07 20:01:13 Etc/GMT	Mitchell Gale	No Confidence	No Confidence	Argus (Chun Kei) Li	No Confidence	No Confidence	No Confidence	Dusan Kovacevic	
2021-04-07 20:18:37 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Jared Murphy	Johnson Luong	Truman Bui	
2021-04-07 20:20:51 Etc/GMT	John Wu	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	Truman Bui	
2021-04-07 20:28:13 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Justin Yan	Truman Bui	
2021-04-07 20:30:32 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-07 20:38:49 Etc/GMT	No Confidence	No Confidence	No Confidence	Argus (Chun Kei) Li	No Confidence	No Confidence	No Confidence	Dusan Kovacevic	
2021-04-07 20:42:17 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Jared Murphy	Dina Hui Zeng	Johnson Luong	Justin Yan	
2021-04-07 20:44:10 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Jared Murphy	Jared Murphy	Jared Murphy	Dusan Kovacevic	
2021-04-07 21:15:37 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Jared Murphy	Justin Yan	Dusan Kovacevic	
2021-04-07 21:56:58 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Justin Yan	Dusan Kovacevic	
2021-04-07 21:58:50 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Justin Yan	Justin Yan	Dina Hui Zeng	Justin Yan	Dusan Kovacevic	
2021-04-07 21:59:35 Etc/GMT	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	
2021-04-07 23:03:10 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Jared Murphy	Jared Murphy	Johnson Luong	Dusan Kovacevic	
2021-04-07 23:12:35 Etc/GMT	No Confidence	Shiva Sanei	Ari Blondal	Justin Yan	Justin Yan	Dina Hui Zeng	Justin Yan	Truman Bui	
2021-04-07 23:28:36 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal						
2021-04-07 23:29:50 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Jared Murphy	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-07 23:41:42 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	No Confidence	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-07 23:55:42 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Jared Murphy	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-07 23:58:19 Etc/GMT	John Wu	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	
2021-04-08 00:01:31 Etc/GMT	John Wu	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	
2021-04-08 00:06:44 Etc/GMT	John Wu								
2021-04-08 00:10:47 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Johnson Luong	Dusan Kovacevic	
2021-04-08 00:18:24 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-08 00:19:53 Etc/GMT				Argus (Chun Kei) Li					
2021-04-08 00:20:17 Etc/GMT				Argus (Chun Kei) Li					
2021-04-08 00:20:57 Etc/GMT	Mitchell Gale	No Confidence	No Confidence	Argus (Chun Kei) Li	No Confidence	No Confidence	No Confidence	Justin Yan	
2021-04-08 00:21:29 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Jared Murphy	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-08 00:22:30 Etc/GMT	Mitchell Gale	No Confidence	No Confidence	Argus (Chun Kei) Li	No Confidence	No Confidence	No Confidence	No Confidence	
2021-04-08 00:28:05 Etc/GMT	Mitchell Gale	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	
2021-04-08 00:43:02 Etc/GMT	John Wu	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	
2021-04-08 00:48:22 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Justin Yan	Truman Bui	
2021-04-08 02:01:50 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-08 03:22:27 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Justin Yan	Justin Yan	Dina Hui Zeng	Johnson Luong	Dusan Kovacevic	
2021-04-08 03:32:58 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-08 03:35:44 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	No Confidence	Justin Yan	Dina Hui Zeng	Jared Murphy	No Confidence	
2021-04-08 03:55:38 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Justin Yan	Jared Murphy	Dina Hui Zeng	Johnson Luong	Dusan Kovacevic	
2021-04-08 04:21:53 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Jared Murphy	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-08 04:55:30 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-08 05:18:19 Etc/GMT	John Wu	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	Truman Bui	
2021-04-08 05:23:52 Etc/GMT	John Wu	Shiva Sanei	No Confidence	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-08 17:41:38 Etc/GMT	Mitchell Gale	Shiva Sanei	No Confidence	Argus (Chun Kei) Li	No Confidence	Dina Hui Zeng	No Confidence	No Confidence	
2021-04-08 22:06:30 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Jared Murphy	Dina Hui Zeng	Johnson Luong	Dusan Kovacevic	
2021-04-08 22:53:48 Etc/GMT	No Confidence	No Confidence	No Confidence	No Confidence	Jared Murphy	Jared Murphy	Jared Murphy	No Confidence	
2021-04-08 22:55:25 Etc/GMT					Jared Murphy	Jared Murphy	Jared Murphy		
2021-04-09 04:39:48 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Justin Yan	Justin Yan	Dina Hui Zeng	Justin Yan	Truman Bui	
2021-04-09 06:06:23 Etc/GMT	Mitchell Gale	No Confidence	Ari Blondal	No Confidence	No Confidence	No Confidence	No Confidence	Truman Bui	
2021-04-09 07:21:31 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Jared Murphy	Justin Yan	Truman Bui	
2021-04-09 07:53:03 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Justin Yan	Truman Bui	
2021-04-09 09:16:51 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	No Confidence	No Confidence	Dusan Kovacevic	
2021-04-09 21:09:45 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	No Confidence	Justin Yan	Dusan Kovacevic	
2021-04-10 08:34:45 Etc/GMT	No Confidence	No Confidence	No Confidence	Argus (Chun Kei) Li	No Confidence	No Confidence	No Confidence	No Confidence	
2021-04-10 08:37:56 Etc/GMT	Mitchell Gale	No Confidence	No Confidence	Argus (Chun Kei) Li	No Confidence	No Confidence	No Confidence	No Confidence	
2021-04-10 18:19:03 Etc/GMT	Mitchell Gale		Ari Blondal	Argus (Chun Kei) Li	No Confidence	No Confidence	No Confidence	No Confidence	
2021-04-12 07:59:57 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-13 22:24:09 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-13 23:52:41 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-14 02:32:14 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Jared Murphy	Johnson Luong	Truman Bui	
2021-04-14 03:30:46 Etc/GMT	Mitchell Gale	Shiva Sanei	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	Truman Bui	
2021-04-14 04:09:02 Etc/GMT	No Confidence	No Confidence	Ari Blondal	Argus (Chun Kei) Li	Jared Murphy	Jared Murphy	Jared Murphy	Dusan Kovacevic	
2021-04-14 08:44:23 Etc/GMT	No Confidence	No Confidence	No Confidence	Argus (Chun Kei) Li	Jared Murphy	Dina Hui Zeng	Johnson Luong	Justin Yan	
2021-04-14 18:46:23 Etc/GMT	John Wu	No Confidence	No Confidence	Justin Yan	Justin Yan	Jared Murphy	Justin Yan	Justin Yan	
2021-04-14 18:47:30 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	No Confidence	No Confidence	No Confidence	Truman Bui	
2021-04-14 18:47:42 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	No Confidence	No Confidence	No Confidence	Truman Bui	
2021-04-14 18:47:50 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Justin Yan	Jared Murphy	Jared Murphy	Johnson Luong	Dusan Kovacevic	
2021-04-14 18:51:19 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	No Confidence	Dina Hui Zeng	No Confidence	Dusan Kovacevic	
2021-04-14 18:53:34 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	No Confidence	No Confidence	No Confidence	No Confidence	Dusan Kovacevic	
2021-04-14 18:56:39 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Jared Murphy	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-14 18:57:32 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	No Confidence	Dina Hui Zeng	No Confidence	Truman Bui	
2021-04-14 19:13:33 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-14 19:21:18 Etc/GMT	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	Truman Bui	
2021-04-14 19:25:07 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Jared Murphy	Dusan Kovacevic	
2021-04-14 19:26:31 Etc/GMT	Mitchell Gale	No Confidence	Ari Blondal	Justin Yan	Justin Yan	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-14 19:29:16 Etc/GMT	John Wu	No Confidence	No Confidence	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Justin Yan	No Confidence	
2021-04-14 19:40:15 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Jared Murphy	Dina Hui Zeng	Jared Murphy	Truman Bui	
2021-04-14 19:43:34 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-14 19:48:31 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-14 20:13:32 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Justin Yan	Jared Murphy	Dina Hui Zeng	No Confidence	Truman Bui	
2021-04-14 21:45:37 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Justin Yan	Justin Yan	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-14 22:26:20 Etc/GMT	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	Truman Bui	
2021-04-14 23:27:46 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-14 23:46:49 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	No Confidence	No Confidence	No Confidence	No Confidence	Truman Bui	
2021-04-14 23:53:13 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Jared Murphy	Jared Murphy	Jared Murphy	Justin Yan	
2021-04-15 03:04:31 Etc/GMT	John Wu	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Johnson Luong	Truman Bui	
2021-04-15 03:18:11 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	Justin Yan	Dina Hui Zeng	Jared Murphy	Truman Bui	
2021-04-15 03:26:10 Etc/GMT	Mitchell Gale	Shiva Sanei	No Confidence	No Confidence	No Confidence	Dina Hui Zeng	Johnson Luong	Justin Yan	
2021-04-15 03:30:49 Etc/GMT	Mitchell Gale	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	Dusan Kovacevic	
2021-04-15 04:06:16 Etc/GMT	Mitchell Gale	Shiva Sanei	Ari Blondal	Argus (Chun Kei) Li	No Confidence	No Confidence	No Confidence	No Confidence	
2021-04-15 04:11:10 Etc/GMT	Mitchell Gale	No Confidence	No Confidence	Argus (Chun Kei) Li	No Confidence	No Confidence	Johnson Luong	Dusan Kovacevic	
