Date	Q1 Answer	Q2 Answer	Q3 Answer	Q4 Answer	Q5 Answer	Q6 Answer	Q7 Answer	Q8 Answer	
2022-04-01 15:37:42 Etc/GMT	Mitchell Gale	Justin Yan	Johnson Luong	No Confidence	No Confidence	Truman Bui	No Confidence	No Confidence	
2022-04-01 16:05:39 Etc/GMT	Oliver Xie	Justin Yan	Gabriel Stang	No Confidence	No Confidence	No Confidence	Rohan Parmar	Rohan Parmar	
2022-04-01 16:08:49 Etc/GMT	Mitchell Gale	Justin Yan	Johnson Luong	Rohan Parmar	Jasper Song	Truman Bui	Rohan Parmar	Rohan Parmar	
2022-04-01 16:21:10 Etc/GMT	Oliver Xie	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	No Confidence	Jared Murphy	No Confidence	
2022-04-01 16:26:38 Etc/GMT	No Confidence	Justin Yan	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	
2022-04-01 16:36:59 Etc/GMT	Mitchell Gale	Justin Yan	No Confidence	No Confidence	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-01 16:49:00 Etc/GMT	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	No Confidence	
2022-04-01 17:03:42 Etc/GMT	Mitchell Gale	Justin Yan	Gabriel Stang	Rohan Parmar	Jasper Song	Truman Bui	Jared Murphy	Rohan Parmar	
2022-04-01 17:04:51 Etc/GMT	Oliver Xie	Justin Yan	Johnson Luong	Rohan Parmar	Jasper Song	Truman Bui	Gilbert (Siu Chung) Wong	Rohan Parmar	
2022-04-01 17:21:19 Etc/GMT	Oliver Xie	Justin Yan	No Confidence	No Confidence	Jasper Song	Truman Bui	No Confidence	No Confidence	
2022-04-01 17:31:17 Etc/GMT	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	
2022-04-01 18:17:40 Etc/GMT	Mitchell Gale	Justin Yan	Gabriel Stang	Rohan Parmar	Jasper Song	Truman Bui	Gilbert (Siu Chung) Wong	Rohan Parmar	
2022-04-01 18:35:51 Etc/GMT	Mitchell Gale	Justin Yan	Johnson Luong	Rohan Parmar	Jasper Song	Truman Bui	Jared Murphy	Rohan Parmar	
2022-04-01 19:23:31 Etc/GMT	Mitchell Gale	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-01 19:26:17 Etc/GMT	Oliver Xie	Justin Yan	Gabriel Stang	Rohan Parmar	Jasper Song	Truman Bui	Jared Murphy	Rohan Parmar	
2022-04-01 19:41:20 Etc/GMT	Oliver Xie	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	No Confidence	No Confidence	
2022-04-01 19:41:42 Etc/GMT	Mitchell Gale	No Confidence	No Confidence	No Confidence	No Confidence	Truman Bui	No Confidence	No Confidence	
2022-04-01 19:44:59 Etc/GMT	Oliver Xie	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-01 19:45:51 Etc/GMT	Oliver Xie	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-01 20:00:29 Etc/GMT	Mitchell Gale	Justin Yan	Gabriel Stang	Rohan Parmar	Jasper Song	Truman Bui	Gilbert (Siu Chung) Wong	Rohan Parmar	
2022-04-01 20:01:02 Etc/GMT	Oliver Xie	No Confidence	No Confidence	No Confidence	Jasper Song	No Confidence	No Confidence	No Confidence	
2022-04-01 20:14:25 Etc/GMT	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	
2022-04-01 20:15:30 Etc/GMT	Oliver Xie	Justin Yan	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	
2022-04-01 20:15:49 Etc/GMT	Oliver Xie	Justin Yan	Johnson Luong	Rohan Parmar	Jasper Song	Truman Bui	Jared Murphy	Rohan Parmar	
2022-04-01 20:33:33 Etc/GMT									
2022-04-01 20:44:36 Etc/GMT	Oliver Xie	Justin Yan	No Confidence	No Confidence	No Confidence	No Confidence	Jared Murphy	No Confidence	
2022-04-01 20:54:48 Etc/GMT	Mitchell Gale	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-01 21:02:53 Etc/GMT	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	
2022-04-01 21:05:50 Etc/GMT	Oliver Xie	Justin Yan	Gabriel Stang	Rohan Parmar	Jasper Song	Truman Bui	Jared Murphy	Rohan Parmar	
2022-04-01 22:16:07 Etc/GMT									
2022-04-01 22:22:43 Etc/GMT	Oliver Xie	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-01 22:35:02 Etc/GMT	Mitchell Gale	Justin Yan	Johnson Luong	Rohan Parmar	Jasper Song	Truman Bui	Gilbert (Siu Chung) Wong	No Confidence	
2022-04-01 23:19:56 Etc/GMT	Oliver Xie	Justin Yan	Johnson Luong	Rohan Parmar	Rohan Parmar			Rohan Parmar	
2022-04-01 23:34:43 Etc/GMT	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	
2022-04-02 01:59:37 Etc/GMT	Mitchell Gale	Justin Yan	Johnson Luong	No Confidence	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-02 02:47:26 Etc/GMT	Mitchell Gale	Justin Yan	Johnson Luong	No Confidence	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-02 02:53:55 Etc/GMT	Mitchell Gale	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-02 07:34:22 Etc/GMT	Mitchell Gale	Justin Yan	Gabriel Stang	Rohan Parmar	Jasper Song	Truman Bui	Jared Murphy	Rohan Parmar	
2022-04-02 18:13:33 Etc/GMT	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	
2022-04-02 19:27:21 Etc/GMT	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	
2022-04-02 22:26:25 Etc/GMT	Mitchell Gale	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-03 16:34:21 Etc/GMT	Oliver Xie	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-03 21:45:43 Etc/GMT	Mitchell Gale	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-04 00:31:36 Etc/GMT	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	
2022-04-04 04:46:04 Etc/GMT	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	Rohan Parmar	
2022-04-04 20:00:50 Etc/GMT	Oliver Xie	Justin Yan	Johnson Luong	Rohan Parmar	Jasper Song	Truman Bui	Gilbert (Siu Chung) Wong	Rohan Parmar	
2022-04-05 03:19:13 Etc/GMT	Mitchell Gale	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	Gilbert (Siu Chung) Wong	No Confidence	
2022-04-05 21:38:43 Etc/GMT	Oliver Xie	Justin Yan		No Confidence	Rohan Parmar	Truman Bui			
2022-04-05 23:54:07 Etc/GMT	Oliver Xie	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-06 17:08:10 Etc/GMT	Mitchell Gale	Justin Yan	Gabriel Stang	Rohan Parmar	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-07 02:27:22 Etc/GMT	Mitchell Gale	Justin Yan	Johnson Luong	No Confidence	Jasper Song	Truman Bui	Gilbert (Siu Chung) Wong	No Confidence	
2022-04-07 02:28:20 Etc/GMT	Mitchell Gale	Justin Yan	Johnson Luong	No Confidence	Jasper Song	Truman Bui	Gilbert (Siu Chung) Wong	No Confidence	
2022-04-07 22:15:25 Etc/GMT	Oliver Xie	Justin Yan	Gabriel Stang	Rohan Parmar	Jasper Song	Truman Bui	Jared Murphy	Rohan Parmar	
2022-04-07 22:18:46 Etc/GMT	Oliver Xie	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-07 22:19:39 Etc/GMT	Mitchell Gale	Rohan Parmar	Gabriel Stang	Rohan Parmar	Jasper Song	Truman Bui	Gilbert (Siu Chung) Wong	Rohan Parmar	
2022-04-07 22:20:45 Etc/GMT	Oliver Xie	Justin Yan	Johnson Luong	Rohan Parmar	Jasper Song	Rohan Parmar	Rohan Parmar	Rohan Parmar	
2022-04-07 22:21:08 Etc/GMT	Oliver Xie	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	No Confidence	No Confidence	
2022-04-07 22:32:02 Etc/GMT	Mitchell Gale	Justin Yan	No Confidence	No Confidence	No Confidence	Truman Bui	No Confidence	No Confidence	
2022-04-07 22:35:37 Etc/GMT	Mitchell Gale	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	Gilbert (Siu Chung) Wong	No Confidence	
2022-04-07 23:08:48 Etc/GMT	Mitchell Gale	Justin Yan	Johnson Luong	Rohan Parmar	Jasper Song	Truman Bui	Gilbert (Siu Chung) Wong	No Confidence	
2022-04-07 23:08:53 Etc/GMT	Mitchell Gale	Justin Yan	Johnson Luong	No Confidence	Jasper Song	Truman Bui	Gilbert (Siu Chung) Wong	No Confidence	
2022-04-07 23:09:55 Etc/GMT	Mitchell Gale	Justin Yan	Gabriel Stang	No Confidence	No Confidence	Truman Bui	Jared Murphy	No Confidence	
2022-04-07 23:38:46 Etc/GMT	Mitchell Gale	Rohan Parmar	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	Gilbert (Siu Chung) Wong	Rohan Parmar	
2022-04-07 23:54:08 Etc/GMT	Mitchell Gale	Justin Yan	Gabriel Stang	Rohan Parmar	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-08 00:12:38 Etc/GMT	Oliver Xie	Justin Yan	Gabriel Stang	Rohan Parmar	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-08 00:21:31 Etc/GMT	Oliver Xie	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-08 00:48:08 Etc/GMT	Mitchell Gale	Justin Yan	Johnson Luong	No Confidence	Jasper Song	Truman Bui	Jared Murphy	No Confidence	
2022-04-08 03:27:17 Etc/GMT							Gilbert (Siu Chung) Wong		
2022-04-08 04:25:08 Etc/GMT	Mitchell Gale	Justin Yan	Johnson Luong	No Confidence	Jasper Song	Truman Bui	Gilbert (Siu Chung) Wong	No Confidence	
2022-04-08 04:44:34 Etc/GMT	Oliver Xie	Justin Yan	Gabriel Stang		Jasper Song	Truman Bui	Gilbert (Siu Chung) Wong		
2022-04-08 16:00:05 Etc/GMT	Oliver Xie	Justin Yan	Gabriel Stang	Rohan Parmar	No Confidence	Truman Bui	No Confidence	No Confidence	
2022-04-08 18:26:28 Etc/GMT	Mitchell Gale								
2022-04-08 18:51:35 Etc/GMT	Mitchell Gale	Justin Yan	Johnson Luong	No Confidence	Jasper Song	Truman Bui	Gilbert (Siu Chung) Wong	No Confidence	
2022-04-08 19:47:47 Etc/GMT	Oliver Xie	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	No Confidence	No Confidence	
2022-04-08 23:36:26 Etc/GMT	Mitchell Gale	Justin Yan	Gabriel Stang	No Confidence	Jasper Song	Truman Bui	Gilbert (Siu Chung) Wong	No Confidence	
2022-04-09 02:13:51 Etc/GMT	No Confidence	Justin Yan	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	No Confidence	
